k_algeria;Algeria;;;;;;;;;;;;;x
k_algeria_adj;Algerian;;;;;;;;;;;;;x
form_algeria;Form Algeria;;;;;;;;;;;;;x
form_algeria_desc;It is time to unite our people under one banner and establish the Algerian peoples as a sovereign in the Maghreb!;;;;;;;;;;;;;x
k_angevin_empire;Angevin Empire;;;;;;;;;;;;;x
k_angevin_empire_adj;Angevin;;;;;;;;;;;;;x
form_angevin_empire;Form the Angevin Empire;;;;;;;;;;;;;x
form_angevin_empire_desc;The thrones of England and France have long been at odds. With the English Nobility consisting out of French and Normans alike it wouldnt seem very strange for us to unite both crowns under one ruler!;;;;;;;;;;;;;x
england_flag;Reset Flag;;;;;;;;;;;;;x
england_flag_desc;Resets the flag to the vanilla flag.;;;;;;;;;;;;;x
form_rum;Form the Rumite Sultanate;;;;;;;;;;;;;x
form_rum_desc;Turkish People have ages been migrating further west and now we've found a new home. Under our new great leader we shall prosper and form the Rumite (Roman) Sultanate!;;;;;;;;;;;;;x
k_danelaw;Danelaw;;;;;;;;;;;;;x
k_danelaw_adj;Anglo-Norse;;;;;;;;;;;;;x
anglo_norse;Anglo-Norse;;;;;;;;;;;;;x
form_danelaw;Establish the Danelaw;;;;;;;;;;;;;x
form_danelaw_desc;After the barbarious Saxons killed the legendary Ragnar Loðbrok in a dishonourable way, we, the descandents of Ragnar shall establish our people onto the lands of the Saxons and make them pay for it for enternity.;;;;;;;;;;;;;x
anglo_norse_FEATURES;§Y*§! Access to Danegeld tributaries.;;;;;;;;;;;;;x
